Last Scraped;Experiences Offered;Host Since;Host Response Rate;Host Acceptance Rate;Host Listings Count;Host Total Listings Count;Neighbourhood;Neighbourhood Cleansed;Neighbourhood Group Cleansed;Zipcode;Latitude;Longitude;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Bed Type;Square Feet;Price;Weekly Price;Monthly Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Minimum Nights;Maximum Nights;Calendar Updated;Has Availability;Availability 30;Availability 60;Availability 90;Availability 365;Calendar last Scraped;Number of Reviews;First Review;Last Review;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Checkin;Review Scores Communication;Review Scores Location;Review Scores Value;License;Jurisdiction Names;Cancellation Policy;Calculated host listings count;Reviews per Month;Geolocation
2017-04-08;none;2017-03-18;100.0;;1.0;1.0;;La Paz;Fuencarral - El Pardo;;40.47973320464615;-3.7021744669624193;House;Private room;1;1.0;2.0;1.0;Real Bed;;20.0;;;;;1;0;5;63;2 weeks ago;;30;60;90;365;2017-04-08;0;;;;;;;;;;;;flexible;1.0;;40.4797332046,-3.70217446696
2017-04-08;none;2016-10-05;;;2.0;2.0;Moratalaz;Fontarrón;Moratalaz;28030;40.403585430206135;-3.6507475970118537;Other;Private room;1;1.0;1.0;1.0;Real Bed;;32.0;;;;;1;0;1;3;6 months ago;;0;0;0;0;2017-04-07;0;;;;;;;;;;;;flexible;2.0;;40.4035854302,-3.65074759701
2017-04-08;none;2012-12-27;100.0;;1.0;1.0;La Latina;Embajadores;Centro;28005;40.41121864606468;-3.7078636366736992;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;;32.0;;;;;1;12;1;1125;2 days ago;;7;25;53;328;2017-04-08;69;2016-05-24;2017-03-21;96.0;10.0;10.0;10.0;10.0;10.0;10.0;;;moderate;1.0;6.47;40.4112186461,-3.70786363667
2017-04-08;none;2015-10-01;83.0;;3.0;3.0;;Cuatro Caminos;Tetuán;28020;40.44768628887627;-3.7026889895084345;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;;65.0;;;200.0;30.0;1;0;3;1125;yesterday;;11;13;35;120;2017-04-08;41;2016-01-17;2017-04-03;97.0;10.0;10.0;10.0;10.0;10.0;10.0;;;moderate;3.0;2.75;40.4476862889,-3.70268898951
2017-04-08;none;2012-09-28;100.0;;1.0;1.0;Carabanchel;Comillas;Carabanchel;28019;40.39211877060102;-3.713775147228896;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;;22.0;;;;;1;0;1;1125;today;;12;40;70;70;2017-04-08;63;2015-10-01;2017-03-31;99.0;10.0;10.0;10.0;10.0;9.0;10.0;;;moderate;1.0;3.4;40.3921187706,-3.71377514723
2017-04-08;none;2012-08-12;100.0;;13.0;13.0;Palos do Moguer;Palos de Moguer;Arganzuela;28012;40.40426236654968;-3.69647058400707;Apartment;Entire home/apt;6;1.0;2.0;4.0;Real Bed;;100.0;;;100.0;;1;0;3;1125;today;;6;15;28;221;2017-04-08;9;2016-12-29;2017-04-01;98.0;10.0;10.0;10.0;10.0;10.0;10.0;;;moderate;13.0;2.67;40.4042623665,-3.69647058401
2017-04-08;none;2015-06-13;100.0;;22.0;22.0;Sol;Sol;Centro;28013;40.41967412478634;-3.7001741680616895;Apartment;Entire home/apt;4;1.0;0.0;1.0;Real Bed;;95.0;;;;;2;20;3;1125;today;;12;25;53;328;2017-04-07;0;;;;;;;;;;;;strict;13.0;;40.4196741248,-3.70017416806
2017-04-08;none;2014-07-26;100.0;;1.0;1.0;Embajadores;Embajadores;Centro;28012;40.41046960996581;-3.701457309971553;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;;40.0;255.0;;150.0;20.0;1;0;3;7;a week ago;;15;45;75;350;2017-04-08;60;2014-11-02;2016-11-17;91.0;9.0;10.0;10.0;10.0;9.0;9.0;;;flexible;1.0;2.02;40.41046961,-3.70145730997
2017-04-08;none;2016-12-04;100.0;;2.0;2.0;;Universidad;Centro;28004;40.427828364580776;-3.7028664819943073;Apartment;Private room;2;1.0;1.0;2.0;Real Bed;;42.0;;;;15.0;1;15;3;6;yesterday;;16;41;71;71;2017-04-08;13;2016-12-16;2017-04-03;94.0;10.0;10.0;10.0;9.0;10.0;10.0;;;flexible;2.0;3.42;40.4278283646,-3.70286648199
2017-04-08;none;2015-12-01;100.0;;9.0;9.0;;Goya;Salamanca;28001;40.42733816171497;-3.6790728086318207;Apartment;Entire home/apt;16;4.5;8.0;16.0;Real Bed;;399.0;;;200.0;60.0;12;25;1;1125;3 days ago;;1;3;16;213;2017-04-07;2;2016-12-18;2017-04-02;100.0;10.0;10.0;10.0;10.0;10.0;10.0;;;strict;9.0;0.54;40.4273381617,-3.67907280863
